run,device_model,device,model_name,median_duration_ms,tokens_per_second,usable_for_short_voice_tool_calls,notes
v2 shorter prompt,"iPhone12,1",iPhone 11,Leap LFM2.5 Audio 1.5B Speech To Tool,17390,0.943,no,Too slow for short speech-to-tool interactions; useful as an older-device stress baseline.
v2 shorter prompt,"iPhone14,4",iPhone 13 mini,Leap LFM2.5 Audio 1.5B Speech To Tool,2658,6.817,no,Above the arbitrary practical 1.5-second target but much closer than iPhone 11.
v2 shorter prompt,"iPhone14,3",iPhone 13 Pro Max,Leap LFM2.5 Audio 1.5B Speech To Tool,1462.5,11.911999999999999,yes,Inside the practical target for short speech-to-tool interactions.
v2 shorter prompt,"iPhone17,1",iPhone 16 Pro,Leap LFM2.5 Audio 1.5B Speech To Tool,1359.5,15.208,yes,Fastest current result and primary target for short speech-to-tool interactions.
